n,gamma,perceptron_weights,svm_weights,perceptron_error,svm_error,svm/percp
15,0.35168141723290985,[0.29741213 0.52553577],[-0.55944611  1.64106851],0.3333333333333333,0.6666666666666666,2.871226445135474
15,0.06315819689204594,[ 0.08765056 -0.24662907],[ 0.74571734 -0.43931517],0.0,0.6666666666666666,3.306704143487104
15,0.09882445734947305,[ 0.35632618 -0.12939797],[ 1.78696209 -0.14276419],0.0,0.0,4.7287911898229495
15,3.3403819753799344,[ 0.22370502 -0.00875831],[ 1.49446158 -0.87439607],0.0,1.0,7.734038297505686
15,0.02200859772465153,[ 1.37889414 -0.4785932 ],[ 2.96911312 -0.0298709 ],0.0,0.3333333333333333,2.0343144898467886
15,0.004602950740788694,[0.65435591 1.81313332],[ 1.20278819 -0.1101472 ],0.3333333333333333,0.3333333333333333,0.6265938756032442
15,0.014904368572716051,[1.80812463 2.17719856],[ 1.61661682 -0.50683144],0.0,0.0,0.5986360128721255
15,0.027717381442973137,[ 0.10247133 -0.16023382],[ 0.56145936 -0.03395171],0.0,0.6666666666666666,2.957366489913106
15,0.027522392905697073,[-4.57319785  2.86511303],[-2.33757897  1.3598133 ],0.3333333333333333,0.3333333333333333,0.5011186479622245
15,0.032634858686367896,[-1.67201036 -2.93361413],[-0.91166549 -2.34443652],0.0,0.0,0.7449577474511839
15,0.0028189831647482335,[1.52235605 1.92809202],[1.13760228 1.26196652],0.6666666666666666,0.6666666666666666,0.6916051696367365
15,0.0034452173667512635,[-0.88610805  0.53157158],[-2.21008232 -0.97358771],0.6666666666666666,0.0,2.3371432242269385
15,0.012892749521998629,[1.38687966 1.33659289],[0.94791844 0.95726524],0.0,0.0,0.6994312953433712
15,0.3799943125526787,[-0.87347315  0.16053809],[-2.26151797  0.35005791],0.0,0.6666666666666666,2.5767831594152377
15,0.05274269156361053,[ 0.62398975 -1.57635922],[-0.86019118 -2.14905091],0.0,0.6666666666666666,1.3653738648969505
15,0.08342675104628375,[0.12099762 1.48323626],[-0.69350903  2.91892784],0.3333333333333333,0.3333333333333333,2.016030280572598
15,0.6552191299970089,[0.08818558 1.01854013],[ 0.63694989 -1.10268242],0.0,0.6666666666666666,1.2455863939211835
15,0.6572458666521446,[0.8289248  0.03490066],[ 0.7179415  -0.95901324],0.0,0.3333333333333333,1.443937419494103
15,0.11469184891427542,[ 0.99137711 -1.28553611],[ 1.4094332  -1.31918494],0.0,0.3333333333333333,1.1891572846339966
15,0.11572424478681562,[-0.93436919  0.21836662],[1.34610789 0.7275902 ],0.3333333333333333,0.3333333333333333,1.5946712167387933
15,0.9229564269865366,[0.21473208 0.74508478],[-0.5091115   1.09880129],0.0,0.0,1.5617738662298037
15,0.1530392410372068,[-0.20090708 -2.07455507],[ 0.46490662 -3.13917667],0.0,0.0,1.5225619216581938
15,0.0032670823815356535,[-5.17914805  2.34637995],[-1.90573745  1.92039557],0.0,0.0,0.4758297867951438
15,0.2001651270900073,[ 0.6971855  -0.81765692],[-0.56641301 -1.21429901],0.0,0.0,1.2469600786703672
15,0.46361222747585007,[ 0.05493174 -0.071008  ],[-1.0740225  -0.82329364],0.0,0.6666666666666666,15.073930101858723
15,0.14339452514534554,[-0.03130657 -0.16085814],[0.19969079 1.22652546],0.0,0.3333333333333333,7.583006087924978
15,0.017167760851377816,[ 0.40968718 -0.11463566],[ 0.84099599 -1.78464059],0.0,0.6666666666666666,4.637429100469457
